STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,sex,Sex,hlth_hle,Health and life expectancy,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TPS00150(1.0),Healthy life years at birth by sex,A,Annual,YR,Year,T,Total,HLY_Y0,Healthy life years in absolute value at birth,CH,Switzerland,2015,,59.4,,,,,
dataflow,ESTAT:TPS00150(1.0),Healthy life years at birth by sex,A,Annual,YR,Year,T,Total,HLY_Y0,Healthy life years in absolute value at birth,CH,Switzerland,2016,,59.4,,,,,
dataflow,ESTAT:TPS00150(1.0),Healthy life years at birth by sex,A,Annual,YR,Year,T,Total,HLY_Y0,Healthy life years in absolute value at birth,CH,Switzerland,2017,,60.6,,,,,
dataflow,ESTAT:TPS00150(1.0),Healthy life years at birth by sex,A,Annual,YR,Year,T,Total,HLY_Y0,Healthy life years in absolute value at birth,CH,Switzerland,2018,,60.5,,,,,
dataflow,ESTAT:TPS00150(1.0),Healthy life years at birth by sex,A,Annual,YR,Year,T,Total,HLY_Y0,Healthy life years in absolute value at birth,CH,Switzerland,2019,,60.6,,,,,
dataflow,ESTAT:TPS00150(1.0),Healthy life years at birth by sex,A,Annual,YR,Year,T,Total,HLY_Y0,Healthy life years in absolute value at birth,CH,Switzerland,2020,,61.5,,,,,
dataflow,ESTAT:TPS00150(1.0),Healthy life years at birth by sex,A,Annual,YR,Year,T,Total,HLY_Y0,Healthy life years in absolute value at birth,CH,Switzerland,2021,,61.4,,,,,
dataflow,ESTAT:TPS00150(1.0),Healthy life years at birth by sex,A,Annual,YR,Year,T,Total,HLY_Y0,Healthy life years in absolute value at birth,CH,Switzerland,2022,,59.1,,,,,
dataflow,ESTAT:TPS00150(1.0),Healthy life years at birth by sex,A,Annual,YR,Year,T,Total,HLY_Y0,Healthy life years in absolute value at birth,CH,Switzerland,2023,,57.6,,,,,
dataflow,ESTAT:TPS00150(1.0),Healthy life years at birth by sex,A,Annual,YR,Year,T,Total,HLY_Y0,Healthy life years in absolute value at birth,CH,Switzerland,2024,,58.0,,,,,
dataflow,ESTAT:TPS00150(1.0),Healthy life years at birth by sex,A,Annual,YR,Year,T,Total,HLY_Y0,Healthy life years in absolute value at birth,CY,Cyprus,2013,,64.7,,,,,
dataflow,ESTAT:TPS00150(1.0),Healthy life years at birth by sex,A,Annual,YR,Year,T,Total,HLY_Y0,Healthy life years in absolute value at birth,CY,Cyprus,2014,,66.0,,,,,
dataflow,ESTAT:TPS00150(1.0),Healthy life years at birth by sex,A,Annual,YR,Year,T,Total,HLY_Y0,Healthy life years in absolute value at birth,CY,Cyprus,2015,,63.3,,,,,
