STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,sex,Sex,unit,Unit of measure,statinfo,Statistical information,rskpovth,Risk of poverty threshold,age,Age class,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TIPSLC20(1.0),People at risk of poverty after social transfer,A,Annual,T,Total,PC,Percentage,MED_EI,Median equivalised income,B_60,Below 60%,TOTAL,Total,LU,Luxembourg,2018,,16.7,,,,,
dataflow,ESTAT:TIPSLC20(1.0),People at risk of poverty after social transfer,A,Annual,T,Total,PC,Percentage,MED_EI,Median equivalised income,B_60,Below 60%,TOTAL,Total,LU,Luxembourg,2019,,17.5,,,,,
dataflow,ESTAT:TIPSLC20(1.0),People at risk of poverty after social transfer,A,Annual,T,Total,PC,Percentage,MED_EI,Median equivalised income,B_60,Below 60%,TOTAL,Total,LU,Luxembourg,2020,,17.4,,b,break in time series,,
dataflow,ESTAT:TIPSLC20(1.0),People at risk of poverty after social transfer,A,Annual,T,Total,PC,Percentage,MED_EI,Median equivalised income,B_60,Below 60%,TOTAL,Total,LU,Luxembourg,2021,,18.1,,b,break in time series,,
dataflow,ESTAT:TIPSLC20(1.0),People at risk of poverty after social transfer,A,Annual,T,Total,PC,Percentage,MED_EI,Median equivalised income,B_60,Below 60%,TOTAL,Total,LU,Luxembourg,2022,,17.3,,b,break in time series,,
dataflow,ESTAT:TIPSLC20(1.0),People at risk of poverty after social transfer,A,Annual,T,Total,PC,Percentage,MED_EI,Median equivalised income,B_60,Below 60%,TOTAL,Total,LU,Luxembourg,2023,,18.8,,,,,
dataflow,ESTAT:TIPSLC20(1.0),People at risk of poverty after social transfer,A,Annual,T,Total,PC,Percentage,MED_EI,Median equivalised income,B_60,Below 60%,TOTAL,Total,LU,Luxembourg,2024,,18.1,,,,,
dataflow,ESTAT:TIPSLC20(1.0),People at risk of poverty after social transfer,A,Annual,T,Total,PC,Percentage,MED_EI,Median equivalised income,B_60,Below 60%,TOTAL,Total,LU,Luxembourg,2025,,14.8,,b,break in time series,,
dataflow,ESTAT:TIPSLC20(1.0),People at risk of poverty after social transfer,A,Annual,T,Total,PC,Percentage,MED_EI,Median equivalised income,B_60,Below 60%,TOTAL,Total,LV,Latvia,2000,,16.0,,,,,
dataflow,ESTAT:TIPSLC20(1.0),People at risk of poverty after social transfer,A,Annual,T,Total,PC,Percentage,MED_EI,Median equivalised income,B_60,Below 60%,TOTAL,Total,LV,Latvia,2005,,19.4,,b,break in time series,,
